order_id,return_id,customer_id,support_agent_id,scenario_id,scenario_name,label,expected_rules,decision
order_100663,return_300663,customer_1015,agent_015,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100198,return_300198,customer_0158,agent_026,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104403,return_304403,customer_0316,agent_703,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_104406,return_304406,customer_1476,agent_703,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_103059,return_303059,customer_0613,agent_102,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_100953,return_300953,customer_0963,agent_009,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100633,return_300633,customer_0123,agent_024,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104444,return_304444,customer_2000,agent_702,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_101271,return_301271,customer_1511,agent_026,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101317,return_301317,customer_1018,agent_021,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100877,return_300877,customer_0364,agent_001,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_101708,return_301708,customer_1609,agent_022,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104616,return_304616,customer_8002,agent_802,8,Repeated agent-customer approval pattern,fraud,REPEATED_AGENT_CUSTOMER_PAIR,APPROVED
order_104275,return_304275,customer_9002,agent_014,6,Customer with frequent refund requests,fraud,CUSTOMER_FREQUENT_RETURNS,APPROVED
order_102195,return_302195,customer_1700,agent_013,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103334,return_303334,customer_1178,agent_010,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_100390,return_300390,customer_1862,agent_010,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103517,return_303517,customer_0321,agent_026,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_103145,return_303145,customer_0702,agent_018,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_104896,return_304896,customer_9901,agent_901,9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",fraud,SUSPICIOUS_CLUSTER;NO_EVIDENCE;MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_102153,return_302153,customer_0258,agent_011,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101847,return_301847,customer_0397,agent_020,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103443,return_303443,customer_1460,agent_009,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_101642,return_301642,customer_0806,agent_028,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101534,return_301534,customer_1687,agent_004,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100360,return_300360,customer_0477,agent_025,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102658,return_302658,customer_1426,agent_029,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_104736,return_304736,customer_8002,agent_802,8,Repeated agent-customer approval pattern,fraud,REPEATED_AGENT_CUSTOMER_PAIR,APPROVED
order_101004,return_301004,customer_1372,agent_016,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_104825,return_304825,customer_9905,agent_902,9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",fraud,SUSPICIOUS_CLUSTER;NO_EVIDENCE;MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_101424,return_301424,customer_1113,agent_023,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100404,return_300404,customer_1703,agent_028,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103997,return_303997,customer_0626,agent_013,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_103817,return_303817,customer_1506,agent_018,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_103813,return_303813,customer_0841,agent_020,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_104261,return_304261,customer_9004,agent_027,6,Customer with frequent refund requests,fraud,CUSTOMER_FREQUENT_RETURNS,APPROVED
order_104495,return_304495,customer_1141,agent_702,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_103257,return_303257,customer_0310,agent_103,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_103635,return_303635,customer_0380,agent_101,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_102606,return_302606,customer_0569,agent_008,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103462,return_303462,customer_1429,agent_029,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_103417,return_303417,customer_1056,agent_009,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_101467,return_301467,customer_0432,agent_006,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101778,return_301778,customer_0531,agent_023,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100773,return_300773,customer_0729,agent_002,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104911,return_304911,customer_9904,agent_902,9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",fraud,SUSPICIOUS_CLUSTER;NO_EVIDENCE;MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_104466,return_304466,customer_1413,agent_703,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_103494,return_303494,customer_1402,agent_021,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_100927,return_300927,customer_0512,agent_003,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102475,return_302475,customer_0170,agent_014,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_101700,return_301700,customer_1219,agent_020,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_101565,return_301565,customer_0082,agent_019,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103574,return_303574,customer_1049,agent_103,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_101518,return_301518,customer_1059,agent_006,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104704,return_304704,customer_8003,agent_803,8,Repeated agent-customer approval pattern,fraud,REPEATED_AGENT_CUSTOMER_PAIR,APPROVED
order_102521,return_302521,customer_1475,agent_009,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103329,return_303329,customer_1525,agent_007,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_100917,return_300917,customer_0189,agent_008,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100232,return_300232,customer_1763,agent_013,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104384,return_304384,customer_0377,agent_702,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_102721,return_302721,customer_0199,agent_016,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100812,return_300812,customer_0374,agent_025,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102781,return_302781,customer_0985,agent_006,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103921,return_303921,customer_1193,agent_010,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_100857,return_300857,customer_1620,agent_014,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102600,return_302600,customer_0320,agent_029,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102945,return_302945,customer_0633,agent_016,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100423,return_300423,customer_0766,agent_022,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_101771,return_301771,customer_0384,agent_014,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103150,return_303150,customer_1413,agent_012,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_103770,return_303770,customer_0897,agent_102,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_101946,return_301946,customer_0796,agent_030,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100582,return_300582,customer_0634,agent_013,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102135,return_302135,customer_0115,agent_023,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100708,return_300708,customer_0389,agent_021,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102379,return_302379,customer_0401,agent_001,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102420,return_302420,customer_1982,agent_019,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103621,return_303621,customer_1939,agent_101,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_103434,return_303434,customer_1157,agent_103,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_101170,return_301170,customer_1538,agent_024,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100444,return_300444,customer_1575,agent_024,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102385,return_302385,customer_1132,agent_004,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101890,return_301890,customer_0834,agent_001,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103237,return_303237,customer_0848,agent_028,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_102612,return_302612,customer_1787,agent_015,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103577,return_303577,customer_1188,agent_102,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_100790,return_300790,customer_1044,agent_025,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103539,return_303539,customer_1946,agent_102,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_100742,return_300742,customer_0655,agent_014,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100338,return_300338,customer_0801,agent_024,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104146,return_304146,customer_9001,agent_001,6,Customer with frequent refund requests,fraud,CUSTOMER_FREQUENT_RETURNS,APPROVED
order_101157,return_301157,customer_0083,agent_011,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104780,return_304780,customer_9902,agent_901,9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",fraud,SUSPICIOUS_CLUSTER;NO_EVIDENCE;MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_102222,return_302222,customer_0114,agent_029,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_101870,return_301870,customer_1692,agent_015,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104086,return_304086,customer_9005,agent_103,6,Customer with frequent refund requests,fraud,CUSTOMER_FREQUENT_RETURNS,APPROVED
order_103684,return_303684,customer_0614,agent_103,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_103991,return_303991,customer_0361,agent_026,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_102527,return_302527,customer_1819,agent_025,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103831,return_303831,customer_0840,agent_019,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_100576,return_300576,customer_0280,agent_009,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104080,return_304080,customer_0262,agent_017,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_102020,return_302020,customer_1177,agent_016,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102282,return_302282,customer_0501,agent_019,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104823,return_304823,customer_9905,agent_902,9,"Suspicious cluster: same agent, frequent customer returns, manual overrides",fraud,SUSPICIOUS_CLUSTER;NO_EVIDENCE;MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_103595,return_303595,customer_1552,agent_101,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_101182,return_301182,customer_0644,agent_025,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102108,return_302108,customer_1907,agent_006,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100880,return_300880,customer_1061,agent_029,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100394,return_300394,customer_0141,agent_028,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100617,return_300617,customer_0131,agent_018,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102810,return_302810,customer_0688,agent_004,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103584,return_303584,customer_0929,agent_101,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_100909,return_300909,customer_0146,agent_028,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100527,return_300527,customer_0854,agent_010,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100173,return_300173,customer_0944,agent_008,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103121,return_303121,customer_0347,agent_101,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_102324,return_302324,customer_1604,agent_014,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103721,return_303721,customer_0153,agent_101,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_102441,return_302441,customer_1662,agent_012,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104432,return_304432,customer_0993,agent_702,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_103538,return_303538,customer_0096,agent_102,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_102168,return_302168,customer_1804,agent_023,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103629,return_303629,customer_1320,agent_103,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_100207,return_300207,customer_0990,agent_017,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101798,return_301798,customer_0133,agent_024,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104076,return_304076,customer_0560,agent_017,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_102096,return_302096,customer_1501,agent_010,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102406,return_302406,customer_1402,agent_007,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102509,return_302509,customer_1485,agent_011,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100616,return_300616,customer_0996,agent_013,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103223,return_303223,customer_0952,agent_021,2,High-value refund approved without evidence,fraud,NO_EVIDENCE;HIGH_VALUE_REFUND,APPROVED
order_102274,return_302274,customer_0922,agent_014,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104088,return_304088,customer_9007,agent_028,6,Customer with frequent refund requests,fraud,CUSTOMER_FREQUENT_RETURNS,APPROVED
order_104679,return_304679,customer_8002,agent_802,8,Repeated agent-customer approval pattern,fraud,REPEATED_AGENT_CUSTOMER_PAIR,APPROVED
order_101901,return_301901,customer_1938,agent_020,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102360,return_302360,customer_0397,agent_025,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102425,return_302425,customer_0661,agent_030,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100506,return_300506,customer_0338,agent_018,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101153,return_301153,customer_0977,agent_013,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100966,return_300966,customer_0880,agent_010,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101370,return_301370,customer_0298,agent_010,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103877,return_303877,customer_1768,agent_018,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_101867,return_301867,customer_0329,agent_005,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102063,return_302063,customer_1416,agent_016,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101621,return_301621,customer_0178,agent_012,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102744,return_302744,customer_1620,agent_004,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101762,return_301762,customer_0296,agent_001,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_101906,return_301906,customer_1507,agent_001,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102720,return_302720,customer_0961,agent_022,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104037,return_304037,customer_1774,agent_016,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_102430,return_302430,customer_1062,agent_029,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101140,return_301140,customer_1153,agent_001,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_101580,return_301580,customer_1697,agent_030,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102464,return_302464,customer_1710,agent_017,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104289,return_304289,customer_9008,agent_022,6,Customer with frequent refund requests,fraud,CUSTOMER_FREQUENT_RETURNS,APPROVED
order_104484,return_304484,customer_1686,agent_703,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_101334,return_301334,customer_0906,agent_020,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102733,return_302733,customer_0001,agent_024,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102928,return_302928,customer_1960,agent_010,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102650,return_302650,customer_1342,agent_028,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102068,return_302068,customer_0448,agent_008,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103724,return_303724,customer_0430,agent_102,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_100548,return_300548,customer_0714,agent_016,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102710,return_302710,customer_0194,agent_006,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101449,return_301449,customer_1106,agent_011,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101336,return_301336,customer_0390,agent_023,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_104636,return_304636,customer_8001,agent_801,8,Repeated agent-customer approval pattern,fraud,REPEATED_AGENT_CUSTOMER_PAIR,APPROVED
order_101738,return_301738,customer_0805,agent_008,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103911,return_303911,customer_1742,agent_002,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_101035,return_301035,customer_1412,agent_010,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102484,return_302484,customer_0257,agent_016,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100242,return_300242,customer_0755,agent_015,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101826,return_301826,customer_1237,agent_012,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103886,return_303886,customer_0495,agent_007,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_100591,return_300591,customer_0884,agent_005,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_100957,return_300957,customer_1353,agent_011,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_104334,return_304334,customer_0845,agent_703,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_102067,return_302067,customer_0225,agent_022,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_100890,return_300890,customer_1915,agent_017,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_103341,return_303341,customer_1355,agent_002,3,Full-amount refund approved for expensive order,fraud,FULL_AMOUNT_REFUND;HIGH_VALUE_REFUND,APPROVED
order_100267,return_300267,customer_1950,agent_009,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101031,return_301031,customer_0790,agent_028,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_103652,return_303652,customer_0811,agent_101,4,Very fast approval by support agent,fraud,FAST_APPROVAL,APPROVED
order_103988,return_303988,customer_0588,agent_008,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_100334,return_300334,customer_0213,agent_027,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_101197,return_301197,customer_0291,agent_010,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102651,return_302651,customer_0422,agent_024,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102453,return_302453,customer_1657,agent_017,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_102173,return_302173,customer_1892,agent_002,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104143,return_304143,customer_9006,agent_019,6,Customer with frequent refund requests,fraud,CUSTOMER_FREQUENT_RETURNS,APPROVED
order_103966,return_303966,customer_0433,agent_008,5,Manual override on high-value refund,fraud,MANUAL_OVERRIDE;HIGH_VALUE_REFUND,APPROVED
order_104494,return_304494,customer_0945,agent_701,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_104111,return_304111,customer_9006,agent_011,6,Customer with frequent refund requests,fraud,CUSTOMER_FREQUENT_RETURNS,APPROVED
order_101752,return_301752,customer_1273,agent_002,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_102944,return_302944,customer_0603,agent_012,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104437,return_304437,customer_0155,agent_701,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
order_100094,return_300094,customer_1140,agent_028,1,Normal refund approval with evidence and reasonable timing,normal,,DECLINED
order_101400,return_301400,customer_0732,agent_003,1,Normal refund approval with evidence and reasonable timing,normal,,APPROVED
order_104538,return_304538,customer_1458,agent_703,7,Support agent with unusually high approval rate,fraud,AGENT_HIGH_APPROVAL_RATE,APPROVED
